Protocol,Latency,Jitter,PacketLoss,ConvergenceTime,Scenario,Notes
RIP,141.0853878645676,22.184006579352154,0.5768871678951313,28.280994649179334,normal,10/May - normal scenario
OSPF,62.505123828563505,24.327144947709023,0.544938360794426,31.385419067638814,normal,10/May - normal scenario
EIGRP,39.253671448488596,10.573165126861495,0.19074522522689752,12.748845754085764,normal,10/May - normal scenario
RIP,142.58073301859855,45.54571398403707,1.192944747772822,48.01591636945587,congestion,11/May - congestion scenario
OSPF,45.0,39.299786882248455,0.34681472511587874,28.778188175466884,congestion,11/May - congestion scenario
EIGRP,38.81262529140437,17.160180535957164,0.15375038413328146,26.211940480607417,congestion,11/May - congestion scenario
RIP,98.40277155234915,23.463778487877953,0.7286331958259717,142.77567905170577,link_failure,12/May - link_failure scenario (R3-R1 link down)
OSPF,80.31187794745436,20.806980330973772,0.16743807222104162,40.958572179075254,link_failure,12/May - link_failure scenario (R3-R1 link down)
EIGRP,40.13326811048115,9.98435525411379,0.29268793230500306,27.68091330521917,link_failure,12/May - link_failure scenario (R3-R1 link down)
RIP,136.21650446202625,20.76669512924343,0.5500545838222453,20.0,normal,13/May - normal scenario
OSPF,66.12486774079412,22.061400253511863,0.5386725448992074,29.21160530854297,normal,13/May - normal scenario
EIGRP,41.42299345347585,15.047885013483421,0.16047500639200973,12.108073767734624,normal,13/May - normal scenario
RIP,162.79793697122483,73.13962744250026,1.0780536875624867,35.975245235051894,congestion,14/May - congestion scenario
OSPF,91.96234356319297,35.65040211397189,0.6432406687711156,27.57006428932944,congestion,14/May - congestion scenario
EIGRP,79.91515746430974,13.953261809713252,0.1849586124296451,23.666080181698288,congestion,14/May - congestion scenario
RIP,70.51172094856238,27.225197447700232,1.1750333264421753,91.43472208502914,link_failure,15/May - link_failure scenario (R3-R1 link down)
OSPF,43.67189409365106,18.88414316592716,0.4130580955652612,50.98103463466683,link_failure,15/May - link_failure scenario (R3-R1 link down)
EIGRP,46.4495130438225,12.741164652307479,0.2562664019825945,39.09747362169527,link_failure,15/May - link_failure scenario (R3-R1 link down)
RIP,123.53211333173654,37.81026745156576,0.9976892215434807,30.329250728913216,normal,16/May - normal scenario
OSPF,80.47584610489342,13.025441308850247,0.47053932638281243,20.178570272930113,normal,16/May - normal scenario
EIGRP,45.84362391979208,13.084147185502312,0.1657745923883026,17.383544484154232,normal,16/May - normal scenario
RIP,128.67871985367805,48.63580381961873,0.6901300416798605,26.906051137571282,congestion,17/May - congestion scenario
OSPF,66.24926867000754,32.1685894357043,0.6402451046861669,20.879815126780837,congestion,17/May - congestion scenario
EIGRP,69.94530420979197,23.490061665759864,0.15522598638117757,17.937954010473938,congestion,17/May - congestion scenario
RIP,112.10079628025628,23.097781615390083,0.5086466526339567,60.0,link_failure,18/May - link_failure scenario (R3-R1 link down)
OSPF,42.470618375683145,14.788622018885238,0.6378015862822898,26.664138671972964,link_failure,18/May - link_failure scenario (R3-R1 link down)
EIGRP,32.92850297952388,12.691908936380532,0.22456445097968541,10.966381625635446,link_failure,18/May - link_failure scenario (R3-R1 link down)
RIP,108.88868405139962,23.728503293657262,0.9018047644651859,20.0,normal,19/May - normal scenario
OSPF,54.555145006832,15.22983705185504,0.23893261689050704,22.730193704505126,normal,19/May - normal scenario
EIGRP,33.83013873805147,15.95409534559683,0.20254233486839696,20.22048380738833,normal,19/May - normal scenario
